SINGLE_INPUT,SINGLE_OUTPUT,MULTI_OUTPUT,CHECK,PK_OUTPUT
단축코드,,일자,TRUE,단축코드
시작일,,가격,TRUE,데이터종류
종료일,,시가,TRUE,
조회구분,,고가,TRUE,
데이터종류,,저가,TRUE,
,,전일대비구분,TRUE,
,,전일대비,TRUE,
,,누적거래량,TRUE,
,,개인매수거래량,TRUE,
,,개인매도거래량,TRUE,
,,개인순매수거래량,TRUE,
,,개인매수누적,FALSE,
,,개인매도누적,FALSE,
,,개인순매수누적거래량,FALSE,
,,외국인매수거래량,TRUE,
,,외국인매도거래량,TRUE,
,,외국인순매수거래량,TRUE,
,,외국인매수누적,FALSE,
,,외국인매도누적,FALSE,
,,외국인순매수누적거래량,FALSE,
,,기관매수거래량,TRUE,
,,기관매도거래량,TRUE,
,,기관순매수거래량,TRUE,
,,기관매수누적,FALSE,
,,기관매도누적,FALSE,
,,기관순매수누적거래량,FALSE,
,,금융투자매수거래량,TRUE,
,,금융투자매도거래량,TRUE,
,,금융투자순매수거래량,TRUE,
,,금융투자매수누적,FALSE,
,,금융투자매도누적,FALSE,
,,금융투자순매수누적거래량,FALSE,
,,투신매수거래량,TRUE,
,,투신매도거래량,TRUE,
,,투신순매수거래량,TRUE,
,,투신매수누적,FALSE,
,,투신매도누적,FALSE,
,,투신순매수누적거래량,FALSE,
,,은행매수거래량,TRUE,
,,은행매도거래량,TRUE,
,,은행순매수거래량,TRUE,
,,은행매수누적,FALSE,
,,은행매도누적,FALSE,
,,은행순매수누적거래량,FALSE,
,,기타금융매수거래량,TRUE,
,,기타금융매도거래량,TRUE,
,,기타금융순매수거래량,TRUE,
,,기타금융매수누적,FALSE,
,,기타금융매도누적,FALSE,
,,기타금융순매수누적거래량,FALSE,
,,보험매수거래량,TRUE,
,,보험매도거래량,TRUE,
,,보험순매수거래량,TRUE,
,,보험매수누적,FALSE,
,,보험매도누적,FALSE,
,,보험순매수누적거래량,FALSE,
,,기금매수거래량,TRUE,
,,기금매도거래량,TRUE,
,,기금순매수거래량,TRUE,
,,기금매수누적,FALSE,
,,기금매도누적,FALSE,
,,기금순매수누적거래량,FALSE,
,,기타매수거래량,TRUE,
,,기타매도거래량,TRUE,
,,기타순매수거래량,TRUE,
,,기타매수누적,FALSE,
,,기타매도누적,FALSE,
,,기타순매수누적거래량,FALSE,
,,외국인기타매수거래량,TRUE,
,,외국인기타매도거래량,TRUE,
,,외국인기타순매수거래량,TRUE,
,,외국인기타매수누적,FALSE,
,,외국인기타매도누적,FALSE,
,,외국인기타순매수누적거래량,FALSE,
,,국가지자체매수거래량,TRUE,
,,국가지자체매도거래량,TRUE,
,,국가지자체순매수거래량,TRUE,
,,국가지자체매수누적,FALSE,
,,국가지자체매도누적,FALSE,
,,국가지자체순매수누적거래량,FALSE,
,,프로그램매수,TRUE,
,,프로그램매도,TRUE,
,,프로그램순매수,TRUE,
,,프로그램누적매수,FALSE,
,,프로그램누적매도,FALSE,
,,프로그램누적순매수,FALSE,
,,사모펀드매수,TRUE,
,,사모펀드매도,TRUE,
,,사모펀드순매수,TRUE,
,,사모펀드누적매수,FALSE,
,,사모펀드누적매도,FALSE,
,,사모펀드누적순매수,FALSE,
,,전일대비율,TRUE,
,,외국인지분율,TRUE,
